TicketID,Date,Weekday,Region,Channel,Category,Priority,AssignedAgent,HandleTimeMinutes,ResolutionHours,SLA_Target_Hours,SLA_Breached,Escalated,FirstContactResolution,CSAT_Score
T100034,2025-02-20,Thursday,North,Email,Policy Change,Low,Agent_04,23.2,34.9,48,No,No,Yes,1
T100035,2025-04-08,Tuesday,West,Phone,Claim Status,Medium,Agent_09,18.1,0.5,24,No,No,Yes,1
T100036,2025-02-08,Saturday,West,Chat,Complaint,Low,Agent_04,17.2,44.3,48,No,No,No,1
T100037,2025-01-08,Wednesday,North,Portal,Claim Status,Medium,Agent_06,10.4,17.9,24,No,No,No,5
T100038,2025-09-04,Thursday,South,Portal,Billing,Medium,Agent_06,16.3,24.3,24,Yes,No,Yes,2
T100039,2025-07-19,Saturday,East,Portal,Technical Issue,Medium,Agent_10,21.6,27.0,24,Yes,No,No,1
T100040,2025-09-07,Sunday,South,Phone,Claim Status,Medium,Agent_02,17.5,15.9,24,No,Yes,Yes,1
T100041,2025-02-01,Saturday,East,Phone,Complaint,Medium,Agent_16,7.6,9.1,24,No,No,Yes,4
T100042,2025-03-22,Saturday,North,Portal,Billing,Low,Agent_06,11.2,11.9,48,No,No,Yes,3
T100043,2025-02-04,Tuesday,South,Email,Complaint,Medium,Agent_08,39.1,56.0,24,Yes,Yes,No,4
T100044,2025-02-11,Tuesday,West,Chat,Complaint,Medium,Agent_17,23.6,16.5,24,No,No,Yes,1
T100045,2025-05-14,Wednesday,South,Chat,Policy Change,Low,Agent_08,13.7,85.8,48,Yes,No,Yes,2
T100046,2025-03-09,Sunday,East,Email,Billing,Medium,Agent_01,32.4,33.0,24,Yes,Yes,No,2
T100047,2025-02-21,Friday,North,Email,Complaint,Low,Agent_09,38.0,26.9,48,No,No,No,5
T100048,2025-06-28,Saturday,North,Portal,Policy Change,Low,Agent_10,23.4,32.2,48,No,No,No,5
T100049,2025-06-04,Wednesday,North,Chat,Complaint,Critical,Agent_10,24.2,3.6,4,No,Yes,Yes,1
T100050,2025-03-10,Monday,East,Phone,Billing,Medium,Agent_24,17.5,13.6,24,No,No,Yes,2
T100051,2025-05-20,Tuesday,East,Chat,Refund Request,Low,Agent_11,14.3,11.7,48,No,No,Yes,1
T100052,2025-05-16,Friday,West,Phone,Billing,Medium,Agent_03,14.1,9.8,24,No,No,Yes,2
T100053,2025-05-22,Thursday,North,Phone,Claim Status,Critical,Agent_21,17.5,3.2,4,No,No,Yes,1
T100054,2025-03-24,Monday,West,Chat,Technical Issue,Low,Agent_18,11.1,69.0,48,Yes,Yes,No,3
T100055,2025-03-18,Tuesday,North,Chat,Complaint,Low,Agent_18,11.2,72.0,48,Yes,No,Yes,1
T100056,2025-03-07,Friday,North,Phone,Billing,Low,Agent_12,3.1,40.5,48,No,No,Yes,4
T100057,2025-05-08,Thursday,North,Email,Complaint,Critical,Agent_14,25.0,3.5,4,No,No,Yes,4
T100058,2025-03-21,Friday,South,Portal,Claim Status,Low,Agent_14,15.3,60.4,48,Yes,Yes,No,1
T100059,2025-06-20,Friday,West,Chat,Refund Request,Low,Agent_08,20.8,49.5,48,Yes,No,Yes,2
T100060,2025-02-25,Tuesday,West,Portal,Technical Issue,Low,Agent_08,19.7,50.0,48,Yes,No,Yes,4
T100061,2025-08-24,Sunday,East,Phone,Claim Status,Low,Agent_08,24.9,32.9,48,No,Yes,No,2
T100062,2025-07-24,Thursday,East,Phone,Billing,Low,Agent_25,10.4,29.7,48,No,No,No,1
T100063,2025-09-18,Thursday,West,Chat,Complaint,Critical,Agent_11,29.6,4.5,4,Yes,No,Yes,2
T100064,2025-03-01,Saturday,East,Phone,Policy Change,Low,Agent_02,16.8,111.3,48,Yes,Yes,No,2
T100065,2025-06-26,Thursday,East,Email,Complaint,Medium,Agent_04,33.7,4.8,24,No,No,No,5
T100066,2025-04-08,Tuesday,East,Phone,Technical Issue,Medium,Agent_01,18.4,34.9,24,Yes,Yes,No,1
T100067,2025-04-11,Friday,East,Email,Refund Request,Medium,Agent_11,39.7,20.8,24,No,No,No,2
T100068,2025-03-05,Wednesday,East,Email,Refund Request,Medium,Agent_14,30.3,13.1,24,No,No,Yes,2
T100069,2025-06-01,Sunday,South,Phone,Refund Request,Medium,Agent_13,11.8,18.8,24,No,No,No,4
T100070,2025-03-31,Monday,East,Email,Billing,Low,Agent_10,27.2,31.5,48,No,No,Yes,5
T100071,2025-08-09,Saturday,East,Email,Technical Issue,Low,Agent_22,30.3,14.8,48,No,Yes,No,1
T100072,2025-03-28,Friday,North,Phone,Refund Request,Medium,Agent_21,11.2,31.9,24,Yes,No,Yes,2
T100073,2025-02-17,Monday,South,Chat,Claim Status,Low,Agent_07,9.9,26.8,48,No,No,Yes,5
T100074,2025-01-24,Friday,South,Portal,Complaint,Low,Agent_25,24.5,23.9,48,No,No,Yes,5
T100075,2025-08-01,Friday,South,Chat,Technical Issue,Medium,Agent_16,20.7,22.7,24,No,No,Yes,2
T100076,2025-03-17,Monday,North,Portal,Billing,Medium,Agent_25,17.5,2.1,24,No,No,Yes,4
T100077,2025-04-01,Tuesday,West,Phone,Claim Status,Medium,Agent_04,23.8,12.6,24,No,No,Yes,1
T100078,2025-08-26,Tuesday,East,Portal,Technical Issue,High,Agent_20,21.4,16.0,8,Yes,No,Yes,2
T100079,2025-09-16,Tuesday,West,Chat,Complaint,High,Agent_15,20.6,5.2,8,No,No,No,5
T100080,2025-09-01,Monday,West,Phone,Claim Status,Low,Agent_21,17.0,18.1,48,No,No,Yes,5
T100081,2025-09-24,Wednesday,West,Chat,Policy Change,Low,Agent_15,18.1,73.1,48,Yes,Yes,No,1
T100082,2025-05-01,Thursday,East,Phone,Complaint,Low,Agent_03,26.9,30.8,48,No,No,Yes,4
T100083,2025-04-29,Tuesday,West,Chat,Refund Request,Low,Agent_07,18.4,43.1,48,No,No,No,5
T100084,2025-07-28,Monday,East,Email,Technical Issue,Low,Agent_02,30.5,7.5,48,No,No,Yes,5
T100085,2025-08-04,Monday,West,Portal,Complaint,Low,Agent_23,17.8,6.6,48,No,No,No,1
T100086,2025-07-14,Monday,West,Phone,Policy Change,High,Agent_10,9.3,9.0,8,Yes,No,Yes,3
T100087,2025-08-03,Sunday,South,Email,Policy Change,Medium,Agent_14,20.8,31.9,24,Yes,No,Yes,2
T100088,2025-07-19,Saturday,East,Chat,Technical Issue,Low,Agent_24,14.1,5.0,48,No,No,No,5
T100089,2025-08-28,Thursday,South,Portal,Complaint,High,Agent_01,27.8,7.9,8,No,No,Yes,1
T100090,2025-01-14,Tuesday,North,Chat,Claim Status,Low,Agent_15,5.8,17.4,48,No,No,Yes,2
T100091,2025-05-14,Wednesday,West,Phone,Technical Issue,Medium,Agent_11,21.1,27.1,24,Yes,Yes,No,2
T100092,2025-05-23,Friday,West,Phone,Billing,Low,Agent_16,8.5,15.0,48,No,No,Yes,3
T100093,2025-01-27,Monday,East,Phone,Billing,Critical,Agent_25,11.4,4.4,4,Yes,No,Yes,3
T100094,2025-01-21,Tuesday,North,Portal,Claim Status,Medium,Agent_01,13.0,32.1,24,Yes,No,Yes,4
T100095,2025-05-03,Saturday,South,Email,Billing,Critical,Agent_19,26.7,9.3,4,Yes,Yes,No,2
T100096,2025-05-12,Monday,East,Phone,Complaint,High,Agent_24,18.8,6.9,8,No,Yes,No,3
T100097,2025-06-09,Monday,North,Chat,Policy Change,Medium,Agent_19,18.7,31.0,24,Yes,No,No,1
T100098,2025-07-12,Saturday,West,Portal,Claim Status,Medium,Agent_03,12.8,18.6,24,No,No,Yes,2
T100099,2025-05-05,Monday,North,Chat,Policy Change,Medium,Agent_22,6.4,29.8,24,Yes,No,No,4
T100100,2025-03-03,Monday,North,Phone,Technical Issue,Medium,Agent_22,21.1,12.1,24,No,No,No,3
T100101,2025-09-17,Wednesday,East,Phone,Technical Issue,Low,Agent_16,27.6,39.6,48,No,No,No,1
T100102,2025-07-05,Saturday,West,Chat,Technical Issue,High,Agent_06,13.3,3.5,8,No,No,Yes,4
T100103,2025-05-19,Monday,West,Email,Refund Request,Low,Agent_19,33.6,12.0,48,No,No,Yes,2
T100104,2025-05-06,Tuesday,North,Phone,Technical Issue,High,Agent_08,2.6,4.7,8,No,No,Yes,1
T100105,2025-07-14,Monday,East,Phone,Policy Change,Medium,Agent_06,28.3,33.7,24,Yes,No,Yes,4
T100106,2025-07-01,Tuesday,East,Phone,Complaint,High,Agent_23,29.4,8.4,8,Yes,No,Yes,3
T100107,2025-01-06,Monday,South,Phone,Refund Request,Medium,Agent_14,17.3,19.1,24,No,No,Yes,3
T100108,2025-05-04,Sunday,West,Chat,Technical Issue,High,Agent_15,15.7,7.9,8,No,No,No,4
T100109,2025-02-17,Monday,East,Phone,Refund Request,Medium,Agent_08,18.1,0.5,24,No,No,Yes,2
T100110,2025-07-08,Tuesday,West,Chat,Policy Change,Critical,Agent_14,14.9,6.5,4,Yes,Yes,Yes,1
T100111,2025-06-19,Thursday,East,Chat,Policy Change,Low,Agent_10,7.4,56.8,48,Yes,No,Yes,2
T100112,2025-03-03,Monday,South,Phone,Refund Request,Critical,Agent_18,18.8,2.1,4,No,Yes,Yes,1
T100113,2025-04-05,Saturday,South,Phone,Technical Issue,High,Agent_09,20.2,9.0,8,Yes,No,No,2
T100114,2025-09-26,Friday,East,Portal,Claim Status,Low,Agent_10,14.9,36.6,48,No,Yes,Yes,1
T100115,2025-06-04,Wednesday,North,Chat,Claim Status,Low,Agent_09,16.9,28.1,48,No,No,Yes,3
T100116,2025-01-28,Tuesday,East,Chat,Claim Status,High,Agent_21,9.5,6.3,8,No,No,No,5
T100117,2025-09-09,Tuesday,North,Portal,Complaint,Medium,Agent_10,25.9,9.4,24,No,No,Yes,2
T100118,2025-08-14,Thursday,East,Phone,Billing,Critical,Agent_09,13.0,5.4,4,Yes,No,Yes,2
T100119,2025-09-02,Tuesday,North,Chat,Technical Issue,Low,Agent_16,21.3,14.6,48,No,No,Yes,4
T100120,2025-01-28,Tuesday,South,Phone,Complaint,Low,Agent_10,21.4,15.3,48,No,No,Yes,1
T100121,2025-05-08,Thursday,North,Chat,Technical Issue,Medium,Agent_20,13.1,22.3,24,No,No,No,2
T100122,2025-04-26,Saturday,West,Email,Technical Issue,High,Agent_10,25.2,6.3,8,No,No,Yes,2
T100123,2025-08-08,Friday,East,Chat,Billing,Critical,Agent_20,9.0,8.3,4,Yes,Yes,No,1
T100124,2025-04-17,Thursday,South,Phone,Billing,Low,Agent_06,22.4,60.3,48,Yes,No,Yes,4
T100125,2025-02-08,Saturday,South,Phone,Technical Issue,Medium,Agent_23,27.0,4.2,24,No,No,Yes,5
T100126,2025-05-30,Friday,North,Phone,Refund Request,High,Agent_10,19.5,8.0,8,No,Yes,Yes,3
T100127,2025-02-06,Thursday,South,Portal,Refund Request,Medium,Agent_19,24.0,29.1,24,Yes,Yes,No,2
T100128,2025-08-06,Wednesday,North,Email,Refund Request,High,Agent_05,32.8,8.3,8,Yes,No,Yes,4
T100129,2025-03-14,Friday,North,Phone,Policy Change,High,Agent_20,14.7,7.4,8,No,No,Yes,1
T100130,2025-05-28,Wednesday,West,Phone,Refund Request,Medium,Agent_10,18.1,33.2,24,Yes,No,Yes,4
T100131,2025-05-20,Tuesday,West,Email,Complaint,High,Agent_02,38.8,5.6,8,No,No,No,2
T100132,2025-06-15,Sunday,East,Phone,Claim Status,High,Agent_22,26.3,0.5,8,No,No,Yes,2
T100133,2025-01-11,Saturday,East,Chat,Claim Status,Medium,Agent_16,24.9,11.0,24,No,No,Yes,5
T100134,2025-08-15,Friday,East,Phone,Complaint,Medium,Agent_14,23.9,11.0,24,No,No,Yes,3
T100135,2025-09-09,Tuesday,North,Email,Technical Issue,Medium,Agent_11,33.9,32.3,24,Yes,Yes,No,2
T100136,2025-03-24,Monday,East,Email,Technical Issue,Medium,Agent_10,30.0,35.9,24,Yes,Yes,Yes,3
T100137,2025-01-19,Sunday,West,Phone,Policy Change,Low,Agent_11,21.3,8.8,48,No,No,Yes,2
T100138,2025-07-26,Saturday,North,Chat,Complaint,Medium,Agent_15,25.0,12.9,24,No,No,Yes,3
T100139,2025-04-07,Monday,East,Chat,Technical Issue,Medium,Agent_21,20.5,38.0,24,Yes,No,No,1
T100140,2025-01-27,Monday,South,Phone,Claim Status,Medium,Agent_10,14.8,24.7,24,Yes,No,No,2
T100141,2025-09-06,Saturday,North,Phone,Refund Request,High,Agent_20,5.6,10.2,8,Yes,No,Yes,1
T100142,2025-03-23,Sunday,East,Chat,Complaint,Low,Agent_14,20.7,25.6,48,No,No,Yes,3
T100143,2025-02-28,Friday,West,Portal,Refund Request,Medium,Agent_05,17.6,20.7,24,No,No,Yes,1
T100144,2025-05-30,Friday,East,Email,Technical Issue,Low,Agent_16,33.4,24.4,48,No,No,No,1
T100145,2025-03-16,Sunday,West,Phone,Complaint,High,Agent_17,22.4,2.6,8,No,No,Yes,4
T100146,2025-03-11,Tuesday,North,Phone,Technical Issue,Critical,Agent_11,26.4,3.3,4,No,Yes,No,2
T100147,2025-05-17,Saturday,North,Phone,Policy Change,Medium,Agent_19,24.7,36.0,24,Yes,No,Yes,3
T100148,2025-09-08,Monday,South,Email,Technical Issue,Medium,Agent_12,24.1,31.2,24,Yes,No,No,3
T100149,2025-07-13,Sunday,West,Portal,Claim Status,Low,Agent_23,17.7,25.2,48,No,No,Yes,4
T100150,2025-07-16,Wednesday,South,Portal,Technical Issue,Medium,Agent_02,31.9,22.5,24,No,No,No,2
T100151,2025-08-31,Sunday,West,Email,Refund Request,Critical,Agent_21,27.0,7.8,4,Yes,Yes,Yes,1
T100152,2025-01-19,Sunday,South,Email,Complaint,High,Agent_11,34.5,13.0,8,Yes,Yes,No,2
T100153,2025-02-21,Friday,West,Phone,Claim Status,High,Agent_14,16.3,9.1,8,Yes,No,Yes,1
T100154,2025-03-21,Friday,North,Email,Policy Change,Medium,Agent_11,27.0,23.1,24,No,No,Yes,3
T100155,2025-07-23,Wednesday,North,Portal,Refund Request,Medium,Agent_18,24.3,0.5,24,No,No,Yes,2
T100156,2025-06-12,Thursday,West,Portal,Billing,Low,Agent_20,19.2,32.9,48,No,No,Yes,3
T100157,2025-05-28,Wednesday,South,Chat,Technical Issue,High,Agent_04,15.8,4.7,8,No,No,Yes,1
T100158,2025-02-21,Friday,West,Phone,Policy Change,Low,Agent_01,23.4,0.5,48,No,No,Yes,5
T100159,2025-01-29,Wednesday,East,Email,Technical Issue,Low,Agent_05,35.2,33.9,48,No,No,Yes,4
T100160,2025-07-30,Wednesday,South,Phone,Billing,High,Agent_20,5.3,6.1,8,No,No,Yes,3
T100161,2025-05-04,Sunday,West,Portal,Claim Status,Medium,Agent_08,20.0,15.4,24,No,No,Yes,5
T100162,2025-05-11,Sunday,West,Phone,Billing,High,Agent_15,17.4,4.3,8,No,No,Yes,3
T100163,2025-03-22,Saturday,North,Email,Policy Change,Low,Agent_19,37.9,0.5,48,No,No,Yes,3
T100164,2025-08-06,Wednesday,East,Email,Policy Change,Critical,Agent_07,29.3,2.2,4,No,No,No,2
T100165,2025-09-05,Friday,North,Phone,Complaint,Medium,Agent_12,26.2,4.1,24,No,No,Yes,4
T100166,2025-06-01,Sunday,North,Portal,Refund Request,Low,Agent_13,26.1,0.5,48,No,No,Yes,5
T100167,2025-01-26,Sunday,West,Chat,Policy Change,High,Agent_25,6.5,8.8,8,Yes,No,No,3
T100168,2025-06-30,Monday,South,Chat,Complaint,Medium,Agent_09,17.2,23.4,24,No,Yes,No,1
T100169,2025-03-12,Wednesday,North,Portal,Refund Request,Medium,Agent_02,18.6,6.6,24,No,No,Yes,2
T100170,2025-08-14,Thursday,North,Chat,Refund Request,Low,Agent_05,5.7,67.5,48,Yes,No,Yes,3
T100171,2025-06-01,Sunday,East,Chat,Claim Status,Low,Agent_07,18.0,23.9,48,No,No,Yes,4
T100172,2025-07-07,Monday,East,Chat,Policy Change,Critical,Agent_16,8.6,5.6,4,Yes,No,Yes,3
T100173,2025-06-01,Sunday,East,Chat,Technical Issue,Low,Agent_03,15.2,38.5,48,No,No,No,1
T100174,2025-04-26,Saturday,West,Portal,Complaint,Low,Agent_12,36.4,0.5,48,No,No,No,1
T100175,2025-07-22,Tuesday,North,Phone,Billing,Medium,Agent_15,8.9,12.8,24,No,No,No,2
T100176,2025-05-15,Thursday,West,Chat,Policy Change,Medium,Agent_04,16.5,22.8,24,No,No,No,5
T100177,2025-08-30,Saturday,North,Chat,Complaint,High,Agent_11,19.0,15.9,8,Yes,Yes,No,1
T100178,2025-02-02,Sunday,West,Portal,Policy Change,Medium,Agent_21,18.2,19.8,24,No,No,Yes,3
T100179,2025-03-13,Thursday,North,Portal,Policy Change,Low,Agent_16,29.1,63.8,48,Yes,No,Yes,4
T100180,2025-05-01,Thursday,South,Email,Policy Change,Critical,Agent_22,29.4,4.6,4,Yes,No,Yes,1
T100181,2025-08-03,Sunday,South,Portal,Refund Request,High,Agent_04,22.6,5.2,8,No,Yes,No,1
T100182,2025-07-28,Monday,East,Phone,Policy Change,Medium,Agent_07,22.1,15.6,24,No,No,Yes,2
T100183,2025-05-01,Thursday,East,Phone,Refund Request,Medium,Agent_12,19.6,15.7,24,No,No,Yes,2
T100184,2025-07-03,Thursday,North,Email,Claim Status,Critical,Agent_04,26.1,3.0,4,No,No,Yes,2
T100185,2025-08-21,Thursday,North,Chat,Refund Request,Medium,Agent_21,11.6,38.9,24,Yes,No,Yes,1
T100186,2025-01-11,Saturday,North,Chat,Claim Status,High,Agent_05,22.9,5.4,8,No,No,Yes,3
T100187,2025-04-16,Wednesday,North,Chat,Complaint,Medium,Agent_07,17.5,10.5,24,No,No,No,1
T100188,2025-04-30,Wednesday,East,Chat,Complaint,Low,Agent_01,18.6,45.5,48,No,No,Yes,3
T100189,2025-03-16,Sunday,South,Email,Claim Status,Medium,Agent_04,33.1,22.7,24,No,No,Yes,1
T100190,2025-01-14,Tuesday,South,Phone,Claim Status,Medium,Agent_19,17.3,23.9,24,No,No,Yes,2
T100191,2025-03-31,Monday,East,Phone,Refund Request,Medium,Agent_14,21.1,28.9,24,Yes,Yes,No,1
T100192,2025-02-02,Sunday,West,Email,Policy Change,Medium,Agent_17,30.0,15.3,24,No,No,Yes,4
T100193,2025-08-20,Wednesday,South,Portal,Billing,High,Agent_24,12.7,8.4,8,Yes,No,Yes,2
T100194,2025-09-24,Wednesday,East,Email,Billing,Critical,Agent_02,20.7,7.2,4,Yes,No,Yes,1
T100195,2025-07-25,Friday,West,Chat,Technical Issue,High,Agent_23,15.7,6.0,8,No,No,Yes,5
T100196,2025-02-07,Friday,North,Phone,Claim Status,Low,Agent_03,22.2,49.7,48,Yes,No,Yes,3
T100197,2025-06-16,Monday,West,Portal,Complaint,Medium,Agent_10,25.4,27.0,24,Yes,No,No,3
T100198,2025-08-09,Saturday,North,Chat,Billing,Medium,Agent_21,8.9,11.5,24,No,No,Yes,1
T100199,2025-04-21,Monday,West,Email,Claim Status,Medium,Agent_14,26.8,30.8,24,Yes,No,Yes,1
T100200,2025-08-21,Thursday,West,Email,Billing,Medium,Agent_11,23.5,9.1,24,No,No,Yes,5
T100201,2025-05-11,Sunday,East,Portal,Refund Request,Low,Agent_16,19.8,38.1,48,No,No,Yes,4
T100202,2025-02-13,Thursday,North,Email,Refund Request,Medium,Agent_24,32.8,2.1,24,No,No,No,3
T100203,2025-03-08,Saturday,North,Chat,Complaint,Medium,Agent_18,18.5,17.3,24,No,No,No,5
T100204,2025-03-04,Tuesday,West,Email,Refund Request,Medium,Agent_25,29.4,19.2,24,No,Yes,No,3
T100205,2025-01-27,Monday,East,Chat,Policy Change,Medium,Agent_04,22.1,11.3,24,No,No,Yes,3
T100206,2025-04-19,Saturday,South,Chat,Claim Status,Medium,Agent_04,9.5,10.0,24,No,No,Yes,5
T100207,2025-07-08,Tuesday,North,Chat,Complaint,High,Agent_08,15.9,4.4,8,No,No,No,4
T100208,2025-01-14,Tuesday,East,Phone,Policy Change,High,Agent_23,17.7,5.0,8,No,No,Yes,2
T100209,2025-06-23,Monday,East,Phone,Claim Status,Medium,Agent_19,7.3,7.6,24,No,Yes,No,2
T100210,2025-03-14,Friday,North,Phone,Complaint,Medium,Agent_07,24.8,27.5,24,Yes,Yes,No,3
T100211,2025-06-24,Tuesday,South,Email,Refund Request,High,Agent_11,29.9,9.4,8,Yes,No,Yes,1
T100212,2025-02-13,Thursday,North,Phone,Complaint,Medium,Agent_02,31.3,24.7,24,Yes,No,No,1
T100213,2025-05-20,Tuesday,West,Chat,Technical Issue,Medium,Agent_20,18.2,19.7,24,No,No,No,3
T100214,2025-05-20,Tuesday,South,Chat,Billing,Medium,Agent_12,6.7,7.7,24,No,No,No,4
T100215,2025-05-26,Monday,West,Email,Policy Change,Low,Agent_02,37.9,73.7,48,Yes,Yes,No,1
T100216,2025-01-29,Wednesday,North,Phone,Claim Status,Low,Agent_25,21.2,50.8,48,Yes,Yes,No,3
T100217,2025-05-29,Thursday,East,Phone,Technical Issue,Medium,Agent_24,16.6,21.6,24,No,No,No,5
T100218,2025-03-08,Saturday,West,Email,Claim Status,Medium,Agent_17,25.1,17.4,24,No,Yes,Yes,1
T100219,2025-07-01,Tuesday,North,Email,Refund Request,Medium,Agent_02,23.2,24.0,24,No,No,Yes,3
T100220,2025-08-24,Sunday,North,Portal,Complaint,Medium,Agent_14,23.0,16.6,24,No,Yes,No,1
T100221,2025-08-02,Saturday,East,Phone,Billing,Low,Agent_11,18.0,5.9,48,No,No,Yes,4
T100222,2025-08-24,Sunday,East,Phone,Billing,Medium,Agent_08,14.6,10.8,24,No,No,Yes,4
T100223,2025-07-25,Friday,North,Email,Policy Change,Medium,Agent_24,31.7,10.1,24,No,No,Yes,3
T100224,2025-06-20,Friday,South,Phone,Refund Request,Medium,Agent_04,14.1,35.1,24,Yes,No,Yes,3
T100225,2025-04-10,Thursday,East,Email,Refund Request,Low,Agent_05,29.3,0.5,48,No,No,Yes,2
T100226,2025-03-16,Sunday,East,Phone,Complaint,High,Agent_05,21.4,1.7,8,No,No,Yes,1
T100227,2025-02-08,Saturday,South,Portal,Refund Request,Medium,Agent_16,22.2,12.0,24,No,No,Yes,2
T100228,2025-08-18,Monday,East,Portal,Refund Request,Low,Agent_11,16.4,76.2,48,Yes,Yes,No,3
T100229,2025-08-29,Friday,West,Chat,Policy Change,Low,Agent_19,5.8,22.7,48,No,No,Yes,2
T100230,2025-09-17,Wednesday,North,Phone,Technical Issue,Low,Agent_02,13.7,61.3,48,Yes,No,Yes,3
T100231,2025-05-27,Tuesday,North,Chat,Billing,Medium,Agent_20,10.3,14.6,24,No,No,Yes,2
T100232,2025-07-16,Wednesday,West,Chat,Refund Request,Medium,Agent_02,17.2,29.6,24,Yes,No,Yes,3
T100233,2025-04-07,Monday,East,Chat,Complaint,Critical,Agent_05,27.2,8.3,4,Yes,Yes,No,1
T100234,2025-02-22,Saturday,East,Portal,Billing,Medium,Agent_17,17.2,7.2,24,No,No,Yes,3
T100235,2025-01-21,Tuesday,South,Chat,Technical Issue,Medium,Agent_17,26.8,13.1,24,No,No,No,3
T100236,2025-03-23,Sunday,East,Email,Policy Change,Medium,Agent_13,34.9,20.9,24,No,No,Yes,3
T100237,2025-06-23,Monday,North,Chat,Refund Request,Low,Agent_11,12.7,25.9,48,No,No,Yes,4
T100238,2025-02-18,Tuesday,West,Phone,Refund Request,Critical,Agent_22,19.6,9.0,4,Yes,Yes,Yes,1
T100239,2025-03-18,Tuesday,East,Phone,Refund Request,High,Agent_05,22.1,9.4,8,Yes,Yes,No,1
T100240,2025-07-20,Sunday,South,Chat,Billing,Medium,Agent_10,4.0,14.1,24,No,No,Yes,2
T100241,2025-06-18,Wednesday,South,Chat,Refund Request,High,Agent_22,15.8,6.0,8,No,No,No,1
